Experiment;Citation;Depth;Sample_date;Time_years;ambient_CO2;increased_CO2
;Johnson et al. 2006;0-30 cm;mar. 1993;1,75;7500;8500
;Johnson et al. 2006;0-30 cm;sept. 1996;5,5;7400;8100
;;;;;;
POPFACE - alba;Hoosbeek et al. 2009;0-10 cm;oct. 1999;0;1320;1128
;Hoosbeek et al. 2009;0-10 cm;oct. 2000;1;1365;1195
;Hoosbeek et al. 2009;0-10 cm;oct. 2001;2;1524;1295
;Hoosbeek et al. 2009;0-10 cm;oct. 2003;4;1629;1377
;Hoosbeek et al. 2009;0-10 cm;oct. 2004;5;1647;1480
;;;;;;
POPFACE - euramericana;Hoosbeek et al. 2009;0-10 cm;oct. 1999;0;1252;1165
;Hoosbeek et al. 2009;0-10 cm;oct. 2000;1;1429;1213
;Hoosbeek et al. 2009;0-10 cm;oct. 2001;2;1405;1084
;Hoosbeek et al. 2009;0-10 cm;oct. 2003;4;1635;1431
;Hoosbeek et al. 2009;0-10 cm;oct. 2004;5;1686;1370
;;;;;;
POPFACE - nigra;Hoosbeek et al. 2009;0-10 cm;oct. 1999;0;1379;1149
;Hoosbeek et al. 2009;0-10 cm;oct. 2000;1;1458;1169
;Hoosbeek et al. 2009;0-10 cm;oct. 2001;2;1534;1112
;Hoosbeek et al. 2009;0-10 cm;oct. 2003;4;1518;1246
;Hoosbeek et al. 2009;0-10 cm;oct. 2004;5;1509;1344
;;;;;;
Shortgrass prairie;Pendall et al. 2004;0-5 cm;nov. 1995;0;617;645
;Pendall et al. 2004;0-5 cm;end growing season  1997;1;527;542
;Pendall et al. 2004;0-5 cm;end growing season  1998;2;488;522
;Pendall et al. 2004;0-5 cm;end growing season  1999;3;618;616
;Pendall et al. 2004;0-5 cm;end growing season  2000;4;603;593
;;;;;;
SoyFACE;Moran and Jastrow 2010;0-12.5 cm;spring 2001;0;4803;4142
;Moran and Jastrow 2010;0-12.5 cm;spring 2006;5;4671;4100
;Moran and Jastrow 2010;0-12.5 cm;spring 2007;6;4437;3836
;;;;;;
SwissFACE- grass - low N;Van Kessel et al. 2006;0-10 cm;May-95;2;2878;2862
;Van Kessel et al. 2006;0-10 cm;May-96;3;2796;3584
;Van Kessel et al. 2006;0-10 cm;May-97;4;2855;2790
;Van Kessel et al. 2006;0-10 cm;May-98;5;3305;3368
;Van Kessel et al. 2006;0-10 cm;May-99;6;2970;2946
;Van Kessel et al. 2006;0-10 cm;May-00;7;2606;2759
;Van Kessel et al. 2006;0-10 cm;May-01;8;3733;3834
;Van Kessel et al. 2006;0-10 cm;May-02;9;3350;3498
;Van Kessel et al. 2006;0-10 cm;May-03;10;3293;3198
;;;;;;
SwissFACE- grass - high N;Van Kessel et al. 2006;0-10 cm;May-95;2;3528;3223
;Van Kessel et al. 2006;0-10 cm;May-96;3;3052;3892
;Van Kessel et al. 2006;0-10 cm;May-97;4;3075;3091
;Van Kessel et al. 2006;0-10 cm;May-98;5;3494;3606
;Van Kessel et al. 2006;0-10 cm;May-99;6;2986;3045
;Van Kessel et al. 2006;0-10 cm;May-00;7;2920;2588
;Van Kessel et al. 2006;0-10 cm;May-01;8;3434;3114
;Van Kessel et al. 2006;0-10 cm;May-02;9;3302;3439
;Van Kessel et al. 2006;0-10 cm;May-03;10;3258;3332
;;;;;;
SwissFACE- clover - low N;Van Kessel et al. 2006;0-10 cm;May-95;2;2822;2872
;Van Kessel et al. 2006;0-10 cm;May-96;3;3048;3500
;Van Kessel et al. 2006;0-10 cm;May-97;4;2862;2931
